Wall time,Step,Value
1757927410.0433033,955,1.5613679885864258
1757927410.2159512,963,1.3628857135772705
1757927410.517629,978,1.5108823776245117
1757927410.545728,979,1.4406172037124634
1757927410.5959454,982,1.502208948135376
1757927410.679179,986,1.375765085220337
1757927410.764467,990,1.446486473083496
1757927410.8064396,992,1.6019763946533203
1757927410.855466,994,1.4592859745025635
1757927410.9723983,999,1.5743094682693481
1757927411.0294833,1002,1.3170236349105835
1757927411.060939,1003,1.4505615234375
1757927411.0720482,1004,1.3259409666061401
1757927411.1235085,1006,1.4756850004196167
1757927411.2893174,1013,1.6877764463424683
1757927411.3336146,1015,1.367108941078186
1757927411.4798276,1022,1.5909918546676636
1757927411.5724719,1026,1.5397651195526123
1757927411.6100757,1028,1.4834628105163574
1757927411.7723374,1035,1.3248552083969116
1757927411.7863228,1036,1.602156639099121
1757927411.8195958,1037,1.3965001106262207
1757927411.9481127,1043,1.514172911643982
1757927411.9999146,1046,1.3095026016235352
1757927412.164074,1056,1.3613094091415405
1757927412.198083,1058,1.4418659210205078
1757927412.2368093,1060,1.4689375162124634
1757927412.2661178,1062,1.463181972503662
1757927412.4334471,1070,1.4100099802017212
1757927412.4590728,1071,1.3406918048858643
1757927412.473759,1072,1.3884618282318115
1757927412.5141852,1073,1.4045785665512085
1757927412.596061,1077,1.3892934322357178
1757927412.647645,1080,1.437817931175232
1757927412.7581089,1086,1.5517146587371826
1757927412.7906806,1087,1.218233346939087
1757927413.0167992,1098,1.3580559492111206
1757927413.089621,1102,1.4199883937835693
1757927413.127268,1104,1.4850126504898071
1757927413.2049801,1107,1.4289754629135132
1757927413.2445717,1109,1.380804181098938
1757927413.284979,1111,1.4621458053588867
1757927413.3376834,1114,1.477641224861145
1757927413.4973934,1121,1.3844704627990723
1757927413.5076902,1122,1.315436840057373
1757927413.5854964,1125,1.3749226331710815
1757927413.5956583,1126,1.3658995628356934
1757927413.6626482,1129,1.5447026491165161
1757927413.712181,1132,1.3385952711105347
1757927413.7493792,1134,1.4691922664642334
1757927413.8649533,1139,1.3834887742996216
1757927413.9850523,1146,1.3608202934265137
1757927414.0917695,1151,1.5314266681671143
1757927414.104027,1152,1.3549280166625977
1757927414.3087556,1162,1.3683288097381592
1757927414.3461037,1164,1.3390644788742065
1757927414.4206414,1167,1.1823140382766724
1757927414.6513407,1174,1.4252573251724243
1757927414.6827426,1176,1.4445165395736694
1757927414.7199798,1177,1.4357136487960815
1757927414.81263,1182,1.4187018871307373
1757927414.8642588,1184,1.5860167741775513
1757927414.9798691,1189,1.4246827363967896
1757927415.075661,1193,1.201246738433838
1757927415.0883992,1194,1.4723012447357178
1757927415.1577992,1197,1.3009392023086548
1757927415.343174,1206,1.3723130226135254
1757927415.5033426,1214,1.2982170581817627
1757927415.5724776,1218,1.4998457431793213
1757927415.682969,1223,1.2909395694732666
1757927415.7267969,1225,1.4362366199493408
1757927415.8160315,1229,1.5025924444198608
1757927416.139245,1244,1.345177173614502
1757927416.196993,1246,1.4403959512710571
1757927416.2714996,1250,1.329662561416626
1757927416.2884,1251,1.3566609621047974
1757927416.3197541,1252,1.2370705604553223
1757927416.3530319,1254,1.2810299396514893
1757927416.4115458,1257,1.5139012336730957
1757927416.476977,1260,1.4747544527053833
1757927416.4943051,1261,1.2665467262268066
1757927416.6247623,1267,1.3236110210418701
1757927416.7015102,1271,1.319136619567871
1757927416.812194,1276,1.2504801750183105
1757927416.8498464,1278,1.3384509086608887
1757927416.9279,1282,1.4506349563598633
1757927416.999021,1285,1.2846828699111938
1757927417.0899434,1290,1.4892266988754272
1757927417.142292,1293,1.278354525566101
1757927417.2637517,1298,1.556097388267517
1757927417.2788577,1299,1.3683216571807861
1757927417.3418987,1302,1.3322992324829102
1757927417.409114,1306,1.2641692161560059
1757927417.4800823,1310,1.333899974822998
1757927417.5727267,1315,1.2380932569503784
1757927417.7025023,1322,1.192962408065796
1757927417.749841,1325,1.3233708143234253
1757927417.7715678,1326,1.3551276922225952
1757927417.9520688,1335,1.4255168437957764
1757927418.1520634,1345,1.3345409631729126
1757927418.2293768,1348,1.4704245328903198
1757927418.3663228,1354,1.4108855724334717
1757927418.4993472,1360,1.36478590965271
1757927418.581297,1364,1.296242117881775
1757927418.6754317,1368,1.4112449884414673
1757927418.809972,1375,1.421330451965332
1757927418.838253,1376,1.3223756551742554
1757927418.9112356,1380,1.3131728172302246
1757927419.0456688,1386,1.3702704906463623
1757927419.1192381,1390,1.4878849983215332
1757927419.164644,1393,1.3472704887390137
1757927419.2524173,1397,1.3500946760177612
1757927419.650449,1417,1.3807811737060547
1757927419.7421067,1421,1.2927260398864746
1757927419.9569006,1431,1.442795753479004
1757927420.0674913,1436,1.2971833944320679
1757927420.107059,1438,1.2339192628860474
1757927420.1187918,1439,1.1952905654907227
1757927420.152818,1440,1.4048436880111694
1757927420.164085,1441,1.2884622812271118
1757927420.3216932,1449,1.2973073720932007
1757927420.497431,1457,1.135429859161377
1757927420.5320277,1458,1.1404099464416504
1757927420.573752,1460,1.3554860353469849
1757927420.584533,1461,1.4225140810012817
1757927420.973069,1473,1.3020378351211548
1757927420.9978654,1474,1.39914870262146
1757927421.0501525,1476,1.2920597791671753
1757927421.2547753,1487,1.4303390979766846
1757927421.3162415,1490,1.3324064016342163
1757927421.4011362,1494,1.2390974760055542
1757927421.5095966,1498,1.2447032928466797
1757927421.608862,1502,1.2201584577560425
1757927421.7329285,1509,1.1857424974441528
1757927421.7557297,1510,1.2509775161743164
1757927421.7706912,1511,1.2466151714324951
1757927421.8030035,1513,1.5604815483093262
1757927421.8642118,1516,1.3521714210510254
1757927422.1399975,1528,1.2716951370239258
1757927422.3013873,1534,1.2354260683059692
1757927422.349149,1537,1.4667571783065796
1757927422.376366,1538,1.1513068675994873
1757927422.4200473,1541,1.3808066844940186
1757927422.5502834,1548,1.298874020576477
1757927422.595377,1551,1.1875133514404297
1757927422.6181395,1552,1.205539345741272
1757927422.8211727,1562,1.4140344858169556
1757927422.9863884,1565,1.3012760877609253
1757927423.016977,1566,1.3786711692810059
1757927423.059128,1568,1.3252846002578735
1757927423.153788,1572,1.0527170896530151
1757927423.1639247,1573,1.2591787576675415
1757927423.2214437,1576,1.3322367668151855
1757927423.2980132,1580,1.1047067642211914
1757927423.400619,1585,1.413630723953247
1757927423.6192455,1595,1.284060001373291
1757927423.6545296,1596,1.26072096824646
1757927423.7348137,1601,1.1578664779663086
1757927423.7758117,1603,1.2215806245803833
1757927423.9459488,1611,1.1937015056610107
1757927424.2886658,1627,1.465179681777954
1757927424.4458163,1635,1.1850945949554443
1757927424.4926443,1637,1.1561963558197021
1757927424.5760412,1640,1.2698551416397095
1757927424.6952028,1646,1.3281095027923584
1757927424.7054226,1647,1.494117021560669
1757927424.84498,1654,1.2390484809875488
1757927424.995137,1662,1.3593353033065796
1757927425.0646777,1666,1.3073383569717407
1757927425.1307814,1670,1.0789275169372559
1757927425.2133987,1674,1.1462725400924683
1757927425.2545426,1677,1.0507194995880127
1757927425.2873688,1679,1.1334228515625
1757927425.3904412,1685,1.2086735963821411
1757927425.4243295,1686,1.185148000717163
1757927425.4339435,1687,1.2212165594100952
1757927425.465929,1688,1.27689790725708
1757927425.5731184,1694,1.2249231338500977
1757927425.5881042,1695,1.2221341133117676
1757927425.7485354,1702,1.1263865232467651
1757927425.7937944,1704,1.1157746315002441
1757927425.8449306,1707,1.3966584205627441
1757927425.8861132,1709,1.2147260904312134
1757927425.9102666,1710,1.344054937362671
1757927425.9245586,1711,1.3564996719360352
1757927426.072874,1718,1.1640070676803589
1757927426.155582,1722,1.3087058067321777
1757927426.1697116,1723,1.1998637914657593
1757927426.2125573,1725,1.2983462810516357
1757927426.3475633,1730,1.3459070920944214
1757927426.4948616,1738,1.1705901622772217
1757927426.505016,1739,1.1172456741333008
1757927426.5940552,1743,1.4280906915664673
1757927426.6340702,1745,1.2560290098190308
1757927426.7969728,1753,1.1497615575790405
1757927426.8208778,1754,1.1901687383651733
1757927427.0330248,1765,1.3203116655349731
1757927427.22749,1775,1.234436273574829
1757927427.2694836,1777,1.0108323097229004
1757927427.340923,1780,1.2978061437606812
1757927427.4216437,1784,1.2782840728759766
1757927427.4333215,1785,1.1485555171966553
1757927427.4485767,1786,1.1050050258636475
1757927427.49943,1789,1.266294240951538
1757927427.5600417,1792,1.1830263137817383
1757927427.6410754,1796,1.1879314184188843
1757927427.7125816,1800,1.2987172603607178
1757927428.0648515,1819,1.386942982673645
1757927428.1485708,1823,1.4137415885925293
1757927428.2174628,1827,1.201169729232788
1757927428.2717733,1830,1.0511070489883423
